"","Park","Site","land_use","area_m2","LU_prop","sum_area_m2","Scale","Period"
"193","ARTI","ARTI_10","Nat_forest",34081807.1151997,0.723772473616179,47089117.5854161,"catchment","2010_2015"
"194","ARTI","ARTI_10","Plant_forest",5905002.23597458,0.125400571061102,47089117.5854161,"catchment","2010_2015"
"195","AIZK","AIZK_10","Urban",73084.5393021527,0.00136334401047431,53606821.7123911,"catchment","2010_2015"
"196","AIZK","AIZK_10","Bare_soil",943197.036302136,0.0175947203391862,53606821.7123911,"catchment","2010_2015"
"197","AIZK","AIZK_10","Grassland",10219183.696157,0.190632150344307,53606821.7123911,"catchment","2010_2015"
"198","AIZK","AIZK_10","Agriculture",66355.2085115228,0.0012378127706867,53606821.7123911,"catchment","2010_2015"
"199","AIZK","AIZK_10","Shrubland",6453268.1851033,0.120381473457354,53606821.7123911,"catchment","2010_2015"
"200","AIZK","AIZK_10","Nat_forest",20582588.3289877,0.383954647403207,53606821.7123911,"catchment","2010_2015"
"201","AIZK","AIZK_10","Plant_forest",15269144.7180273,0.284835851674785,53606821.7123911,"catchment","2010_2015"
"202","ARAL","ARAL_01","Water",155980.494405159,0.00224370616412404,69519127.2811138,"catchment","2010_2015"
"203","ARAL","ARAL_01","Urban",139428.438290897,0.002005612609708,69519127.2811138,"catchment","2010_2015"
"204","ARAL","ARAL_01","Bare_soil",1019993.15922695,0.0146721226102626,69519127.2811138,"catchment","2010_2015"
"205","ARAL","ARAL_01","Grassland",11301974.2634283,0.162573592411865,69519127.2811138,"catchment","2010_2015"
"206","ARAL","ARAL_01","Agriculture",102367.760441555,0.00147251216240981,69519127.2811138,"catchment","2010_2015"
"207","ARAL","ARAL_01","Shrubland",6319026.1790743,0.0908962241934096,69519127.2811138,"catchment","2010_2015"
"208","ARAL","ARAL_01","Nat_forest",32292349.0836688,0.464510277194484,69519127.2811138,"catchment","2010_2015"
"209","ARAL","ARAL_01","Plant_forest",18188007.9025778,0.261625952653738,69519127.2811138,"catchment","2010_2015"
"210","IZKI","IZKI_10","Urban",2410.40640466644,5.52854898496073e-05,43599259.2490987,"catchment","2010_2015"
"211","IZKI","IZKI_10","Bare_soil",203042.006876505,0.00465700588435347,43599259.2490987,"catchment","2010_2015"
"212","IZKI","IZKI_10","Grassland",1271551.51248302,0.0291645210121156,43599259.2490987,"catchment","2010_2015"
"213","IZKI","IZKI_10","Agriculture",1260800.54778139,0.0289179350634828,43599259.2490987,"catchment","2010_2015"
"214","IZKI","IZKI_10","Shrubland",4500847.65960706,0.103232204792564,43599259.2490987,"catchment","2010_2015"
"215","IZKI","IZKI_10","Nat_forest",33484559.2193773,0.768007525725785,43599259.2490987,"catchment","2010_2015"
"216","IZKI","IZKI_10","Plant_forest",2876047.89656875,0.0659655220318497,43599259.2490987,"catchment","2010_2015"
"217","GORB","GORB_10","Urban",658.071638271213,1.68571340387704e-05,39038168.4548326,"catchment","2010_2015"
"218","GORB","GORB_10","Bare_soil",683667.202974709,0.0175127888944308,39038168.4548326,"catchment","2010_2015"
"219","GORB","GORB_10","Grassland",5531354.04399505,0.141690921037826,39038168.4548326,"catchment","2010_2015"
"220","GORB","GORB_10","Agriculture",28826.4616833327,0.00073841737008448,39038168.4548326,"catchment","2010_2015"
"221","GORB","GORB_10","Shrubland",10306788.7389012,0.26401824539556,39038168.4548326,"catchment","2010_2015"
"222","GORB","GORB_10","Nat_forest",14180942.9287788,0.363258408118871,39038168.4548326,"catchment","2010_2015"
"223","GORB","GORB_10","Plant_forest",8305931.00686121,0.212764362049189,39038168.4548326,"catchment","2010_2015"
"224","ARTI","ARTI_10","Water",100966.166185419,0.00214415069207499,47089118.5766937,"catchment","2015_2019"
"225","ARTI","ARTI_10","Urban",11145.9061241859,0.00023669812604439,47089118.5766937,"catchment","2015_2019"
"226","ARTI","ARTI_10","Bare_soil",7867.40193924217,0.00016707473354865,47089118.5766937,"catchment","2015_2019"
